category,business_name,address,town,phone,contact_name,contact_title,first_contact_date,method,outcome,followup_date,quoted_amount,status,notes
Restaurant,,,Ambler,,,Owner,,walk-in,,,,prospect,
Restaurant,,,Chestnut Hill,,,Owner,,walk-in,,,,prospect,
Garden center,,,,,,Owner,,walk-in,,,,prospect,"also ask about referring us"
Strip center,Plymouth Meeting Mall,500 W Germantown Pike,Plymouth Meeting,,,Property manager,,call,,,,prospect,"948k sqft; ask what else they manage"
Strip center,Center Square Plaza,,Blue Bell,,,Property manager,,call,,,,prospect,
Strip center,Shops at Blue Bell,,Blue Bell,,,Property manager,,call,,,,prospect,
Car dealership,,,Willow Grove,,,GM,,walk-in,,,,prospect,
HOA,,,,,,Board president,,email,,,,prospect,"budgets set Aug/Sep - get on an agenda"
Senior living,,,Dresher,,,Facilities director,,call,,,,prospect,
Bank branch,,,Blue Bell,,,Branch manager,,walk-in,,,,prospect,
